Titulo,Vendas_Totais
Call of Duty: Modern Warfare: Mobilized,0.43
EverQuest Online Adventures,0.43
Viewtiful Joe 2,0.43
Flight Control Rocket,0.43
Rune Factory 3: A Fantasy Harvest Moon,0.43
NASCAR Kart Racing,0.43
Hunter: The Reckoning  Wayward,0.43
InuYasha: The Secret of the Cursed Mask,0.43
SEGA Classics Collection,0.43
Microsoft Flight Simulator X,0.43
Mischief Makers,0.43
WipEout 64,0.43
Cool Boarders,0.43
"999: Nine Hours, Nine Persons, Nine Doors",0.43
EyeToy: AntiGrav,0.43
WWE Crush Hour,0.43
Mega Man Zero 2,0.43
Mobile Suit Gundam: Zeonic Front,0.43
Grand Slam Tennis 2,0.43
Classic NES Series: Metroid,0.43
The Fairly Odd Parents: Game Boy Advance Video Volume 1,0.43
Petz Bunnyz,0.43
NHL FaceOff 99,0.43
Sesame Street: Elmo's Number Journey,0.43
Tales of the World: Radiant Mythology,0.43
NHL Slapshot,0.43
Barnstorming,0.43
Castlevania: Portrait of Ruin,0.43
Littlest Pet Shop,0.43
Juiced: Eliminator,0.43
Dora the Explorer: Dora Puppy,0.43
Akiba's Trip: Undead & Undressed,0.43
TimeSplitters,0.43
Wonder Project J: Kikai no Shonen Pino,0.43
Spec Ops: Covert Assault,0.43
MLB 2002,0.43
Rune Factory: Tides of Destiny,0.43
Tetris Axis,0.43
Dawn of Mana,0.43
Primal,0.43
Spartan: Total Warrior,0.42
Battleborn,0.42
Auto Modellista,0.42
NBA ShootOut 2001,0.42
XGIII: Extreme G Racing,0.42
3rd Super Robot Wars Z Jigoku Hen,0.42
Overlord,0.42
Backyard Sports Football: Rookie Rush,0.42
Yakuza Zero: The Place of Oath,0.42
Pitfall: The Lost Expedition,0.42
Deadly Premonition,0.42
Attack on Titan (KOEI),0.42
BloodRayne 2,0.42
Apache: Air Assault,0.42
Super Wagyan Land,0.42
Dog's Life,0.42
Showdown: Legends of Wrestling,0.42
Super Famista 4,0.42
Colony Wars,0.42
Harvest Moon: Grand Bazaar,0.42
NiGHTS: Journey of Dreams,0.42
Mega Man Legends 2,0.42
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,0.42
Neon Genesis Evangelion 2nd Impression,0.42
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.42
Lord of the Rings: The Third Age,0.42
JumpStart: Escape from Adventure Island,0.42
Valkyrie Profile: Covenant of the Plume,0.42
Dr. Mario 64,0.42
Rascal,0.42
Arc the Lad III,0.42
The Fairly Odd Parents: Game Boy Advance Video Volume 2,0.42
The X Files,0.42
Big Strike Bowling,0.42
Cyber Troopers Virtual-On,0.42
Hometown Story,0.42
Katamari Forever,0.42
The Secret Saturdays: Beasts of the 5th Sun,0.42
Animal Crossing: Amiibo Festival,0.42
Sword Art Online: Hollow Fragment,0.42
Zack & Wiki: Quest for Barbaros' Treasure,0.42
Yu-Gi-Oh! GX: Tag Force 2,0.42
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,0.42
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,0.42
Pure Futbol,0.42
Horsez,0.42
Style Lab: Makeover,0.42
Rush 2: Extreme Racing USA,0.42
Ghost Trick: Phantom Detective,0.42
Sniper Elite,0.42
Double Pack: Finding Nemo / The Incredibles,0.42
International Superstar Soccer Pro '98,0.42
Fishing Resort,0.42
Dance Dance Revolution Ultramix 2,0.42
Condemned: Criminal Origins,0.42
Mega Man Battle Network,0.42
Mega Man X6,0.42
Solitaire Overload,0.42
Famicom Mini: Super Mario Bros. 2,0.42
Kumamon Bomber: Puzzle de Kumamon Taisou,0.42
Jikkyou Powerful Pro Yakyuu 6,0.42
Castlevania: The Dracula X Chronicles,0.42
Star Wars Starfighter: Special Edition,0.42
Star Wars Trilogy: Apprentice of the Force,0.42
Football Manager Handheld 2011,0.42
Naruto: Ninja Council 3,0.42
JGTC: All-Japan Grand Touring Car Championship,0.42
Mobile Suit Gundam: Gundam vs. Gundam,0.42
SNK Arcade Classics Vol. 1,0.41
Birds of Steel,0.41
All-Pro Football 2K8,0.41
AKB1/48: Idol to Guam de Koishitara...,0.41
Rogue Ops,0.41
Where's Waldo? The Fantastic Journey,0.41
NBA Live 14,0.41
Legendary,0.41
Gladius,0.41
Baja: Edge of Control,0.41
Yakuza: Ishin,0.41
Silent Scope,0.41
Eragon,0.41
SBK X: Superbike World Championship,0.41
Scene It? Bright Lights! Big Screen!,0.41
MTX Mototrax,0.41
The Powerpuff Girls: Chemical X-Traction,0.41
NASCAR Racing,0.41
The Wonderful 101,0.41
No More Heroes 2: Desperate Struggle,0.41
Buzz! Junior: Jungle Party,0.41
Wheel of Fortune: 2nd Edition,0.41
TERA,0.41
Jampack Spring 2004 (RP-T),0.41
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,0.41
James Patterson Women's Murder Club: Games of Passion,0.41
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,0.41
Itadaki Street DS,0.41
Ogre Battle 64: Person of Lordly Caliber,0.41
Rogue Galaxy: Director's Cut,0.41
Sega Rally Championship 2,0.41
Fantastic Pets,0.41
MotoGP 14,0.41
My Virtual Tutor: Reading Adventure First to Second Grade,0.41
Monster Trucks Mayhem,0.41
Pro Pinball,0.41
300: March to Glory,0.41
Dexter's Laboratory Deesaster Strikes,0.41
Zone of the Enders: The 2nd Runner,0.41
The Gunstringer,0.41
Prince of Persia: Rival Swords,0.41
SpongeBob SquigglePants,0.41
Spore Hero,0.41
Armored Core 2: Another Age,0.41
Hatsune Miku: Project Diva 2nd,0.41
Densha De Go! 2,0.41
Armored Core,0.41
Attack on Titan: Humanity in Chains,0.41
Mario no Super Picross,0.41
Boku no Natsuyasumi 2: Umi no Bouken Hen,0.41
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),0.41
E0: Enemy Zero,0.41
Scooby-Doo and the Cyber Chase,0.41
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.41
Castlevania: Order of Ecclesia,0.41
Jikkyou Powerful Pro Yakuu '94,0.41
AKB1/48: Idol to Koishitara...,0.41
Superman: The New Superman Adventures,0.41
Grudge Warriors,0.41
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,0.41
'98 Koshien,0.41
NFL GameDay 2004,0.41
Warriors Orochi 2 (JP sales),0.4
Battalion Wars,0.4
Dancing With The Stars,0.4
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,0.4
Advance Wars: Dual Strike,0.4
Pet in TV,0.4
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,0.4
Vexx,0.4
Final Fantasy Crystal Chronicles: The Crystal Bearers,0.4
Backyard Wrestling 2: There Goes the Neighborhood,0.4
Sherlock Holmes: The Mystery of the Mummy,0.4
Hitman: HD Trilogy,0.4
Naruto: Path of the Ninja,0.4
Megamind: The Blue Defender,0.4
Harvest Moon: Save the Homeland,0.4
Story of Seasons,0.4
Ultimate Fighting Championship: Throwdown,0.4
RR64: Ridge Racer 64,0.4
Senran Kagura: Estival Versus,0.4
Pengo,0.4
Boku no Natsuyasumi,0.4
Quake 4,0.4
Marvel Super Heroes,0.4
Backyard Sports: Sandlot Sluggers,0.4
NFL Quarterback Club 2000,0.4
Nicktoons: Freeze Frame Frenzy,0.4
Taiko no Tatsujin Wii: Dodon to 2 Yome!,0.4
Bugs Bunny: Lost in Time,0.4
NFL GameDay 2003,0.4
SD Gundam G Generation Seed,0.4
Alvin and the Chipmunks: The Squeakquel,0.4
MLB 2006,0.4
Medarot: Kabuto / Kuwagata Version,0.4
Reader Rabbit Kindergarten,0.4
Fighting Vipers,0.4
Super Monkey Ball: Step & Roll,0.4
Congo Bongo,0.4
50 Cent: Blood on the Sand,0.4
One Piece: Romance Dawn - Bouken no Yoake,0.4
NCAA GameBreaker 2000,0.4
Rocket Power: Dream Scheme,0.4
Backyard Baseball '10,0.4
NBA ShootOut 2000,0.4
World Series Baseball 2K3,0.4
"Warhammer 40,000: Squad Command",0.4
Mother 3,0.4
Wii Sports Club,0.4
Mouse Trap,0.4
Suzuki TT Superbikes,0.4
MLB Power Pros,0.4
Persona 2: Eternal Punishment,0.4
BlazBlue: Chrono Phantasma,0.4
"Sakura Wars: So Long, My Love",0.4
Rumble Roses,0.39
Enchanted Arms,0.39
Bump 'n' Jump,0.39
Cabela's Adventure Camp,0.39
Odin Sphere: Leifthrasir,0.39
Mystery Case Files: The Malgrave Incident,0.39
Kengo: Master of Bushido,0.39
All-Star Baseball 2000,0.39
Rune Factory: Frontier,0.39
Ener-G: Gym Rockets,0.39
Extreme-G: XG2,0.39
NASCAR Heat,0.39
Laser Blast,0.39
Dance Party: Pop Hits,0.39
Super Fire ProWrestling,0.39
Combat of Giants: Dinosaurs 3D,0.39
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,0.39
Danball Senki,0.39
Bladestorm: The Hundred Years' War,0.39
Junior Classic Games,0.39
MLB SlugFest Loaded,0.39
SpongeBob vs The Big One: Beach Party Cook Off,0.39
Bloody Roar,0.39
Age of Empires III,0.39
The Last Airbender,0.39
Disney's Brother Bear,0.39
Chibi-Robo! Plug into Adventure!,0.39
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,0.39
MotoGP 09/10,0.39
The House of The Dead III,0.39
The King of Fighters Collection: The Orochi Saga,0.39
Metal Gear Solid: The Legacy Collection,0.39
UEFA Euro 2016,0.39
Project X Zone,0.39
Airlock,0.39
Generator Rex: Agent of Providence,0.39
Imagine: Party Babyz,0.39
TrackMania Turbo,0.39
Mobile Suit Gundam: Lost War Chronicles,0.39
Super Bust-A-Move,0.39
Donkey Konga 2,0.39
LocoRoco,0.39
Fire Emblem: Fuuin no Tsurugi,0.39
Bomberman Land,0.39
Samurai Warriors Chronicles,0.39
Naruto: Clash of Ninja Revolution 2,0.39
Hooked! Again: Real Motion Fishing,0.39
Madden NFL Football,0.39
Fatal Fury,0.39
Super Famista 3,0.39
College Hoops 2K7,0.39
Custom Robo V2,0.39
Tear Ring Saga Yutona Eiyuu Senki,0.39
Tokimeki Memorial 2,0.39
Conflict: Denied Ops,0.39
Tom Clancy's Ghost Recon 2: Summit Strike,0.39
Super Monkey Ball Deluxe,0.39
Yoshi Touch & Go,0.39
Thrasher Presents: Skate and Destroy,0.39
Jampack Winter 2003 (RP-T),0.39
Nicktoons: MLB,0.39
SD Gundam G Generation World,0.39
Taiko no Tatsujin Wii: Ketteiban,0.39
Wipeout 2048,0.39
Syndicate,0.39
BattleTanx: Global Assault,0.39
Earth Defense Force: Insect Armageddon,0.39
Pro Evolution Soccer 2011 3D,0.38
iCarly 2: iJoin The Click!,0.38
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,0.38
Fragile Dreams: Farewell Ruins of the Moon,0.38
Forza Horizon 3,0.38
MediEvil II,0.38
Space Chimps,0.38
Ford Mustang: The Legend Lives,0.38
Raving Rabbids: Travel in Time 3D,0.38
Phoenix Wright: Ace Attorney - Dual Destinies,0.38
Imagine: Salon Stylist,0.38
Metal Gear Solid: Snake Eater 3D,0.38
Lost Planet 3,0.38
Phantasy Star ?,0.38
Mobile Suit Gundam: Extreme VS Full Boost,0.38
Wario Land II (GBC),0.38
NCAA Final Four 2000,0.38
Bust-A-Move '99,0.38
NCAA College Basketball 2K3,0.38
Lilo & Stitch 2: H?msterviel Havoc,0.38
Final Fantasy Adventure,0.38
Greg Hastings Paintball 2,0.38
Ninja: Shadow of Darkness,0.38
Super Soccer,0.38
Family Game Night 4: The Game Show,0.38
Cabela's Trophy Bucks,0.38
F1 2016 (Codemasters),0.38
4x4 EVO 2,0.38
Jam Sessions: Sing and Play Guitar (US sales),0.38
EyeToy Play 2,0.38
Tetris Attack,0.38
Hangman,0.38
Etrian Odyssey IV: Legends of the Titans,0.38
Rogue Trip: Vacation 2012,0.38
SD Gundam G Generation Spirits,0.38
Grandia Xtreme,0.38
Gravitar,0.38
Anarchy Reigns,0.38
Risk: Global Domination,0.38
Dragon Ball Z: Attack of the Saiyans,0.38
Overlord: Dark Legend,0.38
The Spiderwick Chronicles,0.38
Shin Megami Tensei: Devil Survivor Overclocked,0.38
Shin Megami Tensei: Nocturne,0.38
SD Gundam G Generation-F,0.38
Guitar Hero On Tour: Modern Hits,0.38
Triple Play 97,0.38
Dance Dance Revolution Ultramix 3,0.38
Elite Beat Agents,0.38
Taiko no Tatsujin Portable DX,0.38
Shin Megami Tensei: Devil Summoner,0.38
Moto Racer World Tour,0.38
Ice Age,0.38
The House of the Dead: Overkill - Extended Cut,0.38
Fist of the North Star: Ken's Rage 2,0.38
Champion Jockey: G1 Jockey & Gallop Racer,0.38
ESPN Extreme Games,0.38
Tamagotchi Connection: Corner Shop 3,0.38
Driver: Parallel Lines,0.38
AKB1/149: Love Election,0.38
ZhuZhu Pets: Featuring The Wild Bunch,0.38
Pokemon Channel,0.38
Puyo Puyo 7,0.38
Naruto Shippuden: Ultimate Ninja Heroes 3,0.38
Dai-4-Ji Super Robot Taisen,0.38
The Cat in the Hat,0.38
Headhunter,0.38
WRC: FIA World Rally Championship,0.38
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,0.38
Mobile Suit Gundam version 2.0,0.38
Puppy Palace,0.37
NFL Street 2 Unleashed,0.37
Trauma Center: Under the Knife,0.37
Turok: Rage Wars,0.37
Mega Man X Collection,0.37
Solaris,0.37
Jurassic Park: Operation Genesis,0.37
Naruto Shippuden: Ninja Destiny 2,0.37
Tobal 2,0.37
ESPN: Sports Connection,0.37
SD Gundam G Generation Wars,0.37
Build-A-Bear Workshop: A Friend Fur All Seasons,0.37
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,0.37
Chicken Blaster,0.37
Theatrhythm Final Fantasy: Curtain Call,0.37
Etrian Odyssey II: Heroes of Lagaard,0.37
Command & Conquer: Red Alert 3 Ultimate Edition,0.37
Scooby-Doo! Classic Creep Capers,0.37
Disney's Donald Duck: Goin' Quackers,0.37
Bookworm,0.37
High Heat Major League Baseball 2003,0.37
The Rise of the Argonauts,0.37
Digging for Dinosaurs,0.37
Pro Evolution Soccer 2017,0.37
Back to the Future: The Game,0.37
Dragonfire,0.37
The Bible Game,0.37
Pac-Man and the Ghostly Adventures 2,0.37
Reel Fishing III,0.37
Paws & Claws: Pampered Pets,0.37
Panzer Dragoon,0.37
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,0.37
Virtua Fighter 3tb,0.37
Kingdom Under Fire: Circle of Doom,0.37
Mini-Yonku GB: Let's & Go!!,0.37
Yarudora Series Vol.1: Double Cast,0.37
Sid Meier's Civilization: Beyond Earth,0.37
Kotoba no Puzzle: Mojipittan DS,0.37
Super Dragon Ball Z,0.37
Super Formation Soccer 94,0.37
"Monsters, Inc. Scream Arena",0.37
Rock Band Track Pack Volume 1,0.37
Xenosaga Episode III: Also sprach Zarathustra,0.37
Shin Megami Tensei II,0.37
NBA Inside Drive 2002,0.37
Super Robot Taisen EX,0.37
Kileak: The DNA Imperative,0.37
Rocky: Legends,0.37
Rocket League,0.37
Outlaw Golf,0.37
Phantasy Star Portable 2: Infinity,0.37
Re-Volt,0.37
Petz Rescue: Ocean Patrol,0.37
Medieval II: Total War Gold Edition,0.37
Barbie Horse Adventures: Blue Ribbon Race,0.37
The Price is Right 2010 Edition,0.37
Nickelodeon Dance,0.37
Divinity: Original Sin,0.36
Kamaitachi no Yoru 2,0.36
We Sing Deutsche Hits,0.36
World's Scariest Police Chases,0.36
North American Hunting Extravaganza,0.36
Ryu Ga Gotoku Kenzan!,0.36
Nonomura Byoin no Hitobito,0.36
U-Sing,0.36
Arc the Lad: Twilight of the Spirits,0.36
Hamtaro: Ham-Ham Heartbreak,0.36
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,0.36
Mystical Ninja starring Goemon,0.36
Company of Heroes 2,0.36
Football Manager Handheld 2010,0.36
Castlevania: Lords of Shadow 2,0.36
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,0.36
Barbie and the Three Musketeers,0.36
Jurassic Park,0.36
Wonder Pets! Save the Animals!,0.36
Naruto: Ultimate Ninja 3 (JP sales),0.36
MechAssault 2: Lone Wolf,0.36
Mega Man Zero Collection,0.36
Dance Dance Revolution 3rdMix,0.36
LocoRoco 2,0.36
Zero4 Champ RR,0.36
Squeeballs Party,0.36
Yuu Yuu Hakusho,0.36
Dynasty Warriors 8: Empires,0.36
AMF Bowling World Lanes,0.36
The Cursed Crusade,0.36
MechWarrior 2: 31st Century Combat,0.36
Frogs And Flies,0.36
Big Bass World Championship,0.36
Valkyrie Profile: Lenneth,0.36
Formula 1 Championship Edition,0.36
Dynasty Warriors: Gundam Reborn,0.36
Hamster Club 3,0.36
Tiger Woods PGA Tour,0.36
Tetrisphere,0.36
Cubix Robots for Everyone: Clash 'n' Bash,0.36
Dai-2-Ji Super Robot Taisen Z Saisei-hen,0.36
Tom and Jerry in War of the Whiskers,0.36
Dragon Ball Z: Infinite World,0.36
Okage: Shadow King,0.36
One Piece: Gigant Battle!,0.36
J-League Pro Soccer Club o Tsukurou '04,0.36
J-League Pro Soccer Club o Tsukurou!,0.36
Monster Rancher 3,0.36
Summon Night 3,0.36
Iron Chef America: Supreme Cuisine,0.36
Kirby's Dream Land 3,0.36
Astro Boy: The Video Game,0.36
ATV/Monster Truck Mayhem,0.36
FaceBreaker,0.36
Boxer's Road,0.36
Dark Summit,0.36
Dora the Explorer: Dora Saves the Crystal Kingdom,0.36
Mobile Suit Z-Gundam,0.36
Shrek,0.36
Kinectimals: Now with Bears!,0.36
Super Robot Taisen A,0.36
Battlestations: Pacific,0.36
Super Fire ProWrestling Special,0.36
Toriko: Gourmet Survival!,0.36
Dora the Explorer: Journey to the Purple Planet,0.36
Don King Boxing,0.35
The Testament of Sherlock Holmes,0.35
Superman Returns,0.35
The Ant Bully,0.35
Rally Cross 2,0.35
Jeremy McGrath Supercross World,0.35
Prey,0.35
Jikkyou Powerful Pro Yakyuu 7,0.35
Jikkyou Powerful Pro Yakyuu 13,0.35
Disney Fairies: Tinker Bell and the Great Fairy Rescue,0.35
Jikkyou Powerful Pro Yakyuu 2000,0.35
Stunt Race FX,0.35
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),0.35
The King of Fighters '96,0.35
Resident Evil: Dead Aim,0.35
Pac-Man All-Stars,0.35
Blasto,0.35
Backbreaker,0.35
Trauma Center: Second Opinion,0.35
Star Wars: Flight of the Falcon,0.35
Hello Kitty Daily,0.35
Sentouchu: Densetsu no Shinobi to Survival Battle!,0.35
EverGrace,0.35
Cabela's Outdoor Adventures (2006),0.35
Gundam Breaker,0.35
Bloody Roar 3,0.35
Sengoku Basara 3 Utage,0.35
CSI: Deadly Intent - The Hidden Cases,0.35
Ty the Tasmanian Tiger 3: Night of the Quinkan,0.35
Chuck E. Cheese's Party Games,0.35
Star Fox: Zero,0.35
M&M's Kart Racing,0.35
SOCOM: Tactical Strike,0.35
Lunar 2: Eternal Blue Complete,0.35
World Series of Poker: Tournament of Champions 2007 Edition,0.35
NHL 2K3,0.35
Naruto Shippuden: Ultimate Ninja Impact,0.35
Saw II: Flesh & Blood,0.35
Xbox Music Mixer,0.35
One Piece: Gigant Battle 2 Shin Sekai,0.35
Splatterhouse,0.35
Backyard Baseball 2006,0.35
NCAA Final Four 2001,0.35
The Shoot,0.35
Momotarou Dentetsu 12,0.35
NHL 17,0.35
Fossil Fighters: Frontier,0.35
Battalion Wars 2,0.35
Mega Man ZX Advent,0.35
From TV Animation One Piece: Tobidase Kaizokudan!,0.35
Mega Man X3,0.35
Soldier of Fortune: Payback,0.35
Guilty Gear X2,0.35
WCW Backstage Assault,0.35
Picross 2,0.35
Yu-Gi-Oh! 5D's Tag Force 5,0.35
Disney's Tarzan: Return to the Jungle,0.35
Suikoden V,0.35
Thunderstrike: Operation Phoenix,0.34
Alien's Return,0.34
Tom Clancy's Rainbow Six: Rogue Spear,0.34
The Wild Thornberrys Movie,0.34
Kurushi Final: Mental Blocks,0.34
Classic NES Series: Ice Climber,0.34
Tom Clancy's Ghost Recon: Shadow Wars,0.34
Tiny Tank,0.34
Kameo: Elements of Power,0.34
Radiant Historia,0.34
Catwoman,0.34
Smart Girl's Party Game,0.34
Carol Vorderman's Sudoku,0.34
Imagine: Movie Star,0.34
Chicken Riot,0.34
Frostbite,0.34
Freeway,0.34
SoulCalibur,0.34
Football Manager Handheld 2008,0.34
Momotarou Dentetsu DS: Tokyo & Japan,0.34
Fantastic Voyage,0.34
Monkey Island: Special Edition Collection,0.34
Monster Rancher 4,0.34
WWE Day of Reckoning 2,0.34
Modnation Racers: Road Trip,0.34
Fairytale Fights,0.34
Fade to Black,0.34
Carnival,0.34
Herbie: Fully Loaded,0.34
WipEout 3,0.34
The Sims 3: Town Life Stuff,0.34
Off Road Challenge,0.34
MXRider,0.34
Iron Storm,0.34
Bank Heist,0.34
ESPN NHL Hockey,0.34
ESPN MLB Baseball,0.34
Myst III: Exile,0.34
My Baby Boy,0.34
The Eye of Judgment,0.34
Backyard NFL Football '10,0.34
World Destruction League: Thunder Tanks,0.34
Driver 2 Advance,0.34
The Scorpion King: Rise of the Akkadian,0.34
Night Warriors: Darkstalkers' Revenge,0.34
Stormrise,0.34
International Cricket 2010,0.34
Star Ocean: Second Evolution,0.34
Buzz! The Ultimate Music Quiz,0.34
Etrian Odyssey,0.34
Backstreet Billiards,0.34
And1 Streetball,0.34
Style Lab: Jewelry Design,0.34
The King of Fighters '97,0.34
The Italian Job,0.34
Risk / Battleship / Clue,0.34
Tenchu Z,0.34
Armorines: Project S.W.A.R.M.,0.34
Point Blank,0.34
Arcania: Gothic 4,0.34
Pro Yakyuu Team o Tsukurou! 2,0.34
Tenchu: Shadow Assassins,0.34
Killer is Dead,0.34
Star Ocean 5: Integrity and Faithlessness,0.34
Walt Disney's The Jungle Book: Rhythm N'Groove,0.34
Guilty Gear Xrd: Sign,0.34
Dragon Ball Z: Idainaru Dragon Ball Densetsu,0.34
Armored Core: For Answer,0.34
MLB Power Pros 2008,0.34
GRID Autosport,0.34
Dengeki Bunko Fighting Climax,0.34
3rd Super Robot Wars Z: Tengoku-Hen,0.34
Hot Wheels: Battle Force 5,0.34
NeoGeo Battle Coliseum,0.33
Hatsune Miku: Project Diva Extend,0.33
Family Party: 90 Great Games Party Pack,0.33
Naruto: Gekito Ninja Taisen! 4,0.33
Monster 4x4: Masters of Metal,0.33
Naruto: Rise of a Ninja,0.33
Capcom Classics Collection Reloaded,0.33
Wallace & Gromit in Project Zoo,0.33
Street Fighter Alpha 3 MAX,0.33
Samurai Warriors 2: Xtreme Legends (JP sales),0.33
Little Deviants,0.33
WWE Wrestlemania XIX,0.33
Shin Nippon Pro Wrestling: Toukon Retsuden,0.33
BattleTanx,0.33
Pandora's Tower,0.33
Clock Tower 3,0.33
Risen,0.33
Transformers: Revenge of the Fallen (DS Versions),0.33
Elebits,0.33
Transformers: Prime,0.33
Little Battlers eXperience W,0.33
Bomberman World,0.33
Bleach: Shattered Blade,0.33
1001 Touch Games,0.33
Disgaea 2: Cursed Memories,0.33
Discovery Kids: Puppy Playtime,0.33
Digimon World: Dawn / Dusk,0.33
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,0.33
Disgaea: Hour of Darkness,0.33
Deus Ex: Invisible War,0.33
Untold Legends: The Warriors Code,0.33
Banjo-Kazooie: Grunty's Revenge,0.33
Sakura Wars 3: Paris wa Moeteiru ka,0.33
Deathtrap Dungeon,0.33
Sonic Boom: Rise of Lyric,0.33
Folklore,0.33
Fireball,0.33
ATV Quad Kings,0.33
World Stadium 3,0.33
Ninja Blade,0.33
Battle Dodge Ball,0.33
"Carnival Games: Monkey See, Monkey Do!",0.33
Ape Escape Academy,0.33
SSX Blur,0.33
Singstar: Ultimate Party,0.33
Frogger II: Threeedeep!,0.33
Sengoku Musou 3 Z,0.33
GT Advance Championship Racing,0.33
DX Game of Life 2,0.33
Etrian Odyssey III: The Drowned City,0.33
Way of the Samurai 2,0.33
NBA Live 96,0.33
Disney's Meet the Robinsons,0.33
Spy Kids 3-D: Game Over,0.33
Klonoa 2: Lunatea's Veil,0.33
DECA Sports Freedom,0.33
Classic NES Series: Castlevania,0.33
Tales of the World: Radiant Mythology 2,0.33
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,0.33
Super Power League 2,0.33
Tales of Berseria,0.33
Tokyo Highway Battle,0.33
Yoostar2,0.33
PBR: Out of the Chute,0.33
Planet Puzzle League,0.33
Power Rangers: Ninja Storm,0.33
Kidou Senshi Gundam F91: Formula Senki 0122,0.33
Dragon Ball Z: Extreme Butoden,0.33
Dr. Mario / Puzzle League,0.33
Pitfall 3D: Beyond the Jungle,0.33
BeatMania Append GottaMix,0.33
Extra Bases,0.33
Risen 3: Titan Lords,0.33
Jeanne d'Arc,0.33
Buffy the Vampire Slayer: Chaos Bleeds,0.33
World of Tanks,0.33
Bass Pro Shops: The Hunt,0.33
Karaoke Revolution Volume 3,0.32
Dance Dance Revolution Universe,0.32
The Legend of Heroes: Trails in the Sky First Chapter,0.32
World Poker Tour,0.32
The Conveni: Ano Machi wo Dokusen Seyo,0.32
Rally Cross,0.32
Nicktoons: Movin',0.32
Harvest Moon: Back to Nature,0.32
Heart of Darkness,0.32
Divinity II: Ego Draconis,0.32
SpongeBob's Surf & Skate Roadtrip,0.32
Tetris 2 + Bombliss,0.32
Quiz Magic Academy DS,0.32
4x4 Evolution,0.32
The Witcher: Enhanced Edition,0.32
7 Wonders II,0.32
Derby Stallion DS,0.32
Championship Bass,0.32
Fortress,0.32
Dragon Quest Monsters 1?2,0.32
Dragster,0.32
Amagami,0.32
Rudolph the Red-Nosed Reindeer,0.32
SpongeBob SquarePants: Double Pack,0.32
Project: Snowblind,0.32
Romance of the Three Kingdoms VII,0.32
Frankenstein's Monster,0.32
Dragon Quest Monsters: Battle Road Victory,0.32
NFL Fever 2004,0.32
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,0.32
Winter Stars,0.32
"Ed, Edd n Eddy: Jawbreakers!",0.32
Peppa Pig: Theme Park Fun,0.32
Birthday Party Bash,0.32
Sega Smash Pack,0.32
NBA Ballers: Chosen One,0.32
Transworld Surf,0.32
Gold's Gym: Cardio Workout (Others sales),0.32
ESPN X-Games Pro Boarder,0.32
Nagano Winter Olympics 98,0.32
Naruto: Ultimate Ninja (JP sales),0.32
Extreme Pinball,0.32
Ridge Racer Unbounded,0.32
Resident Evil Archives: Resident Evil,0.32
OverBlood,0.32
Beautiful Katamari,0.32
FIFA 2001 Major League Soccer,0.32
BMX XXX,0.32
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,0.32
"Go, Diego, Go!: Great Dinosaur Rescue",0.32
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,0.32
Sky Odyssey,0.32
Kinetica,0.32
Kingdom Under Fire: The Crusaders,0.32
Dynasty Warriors 4 Empires,0.32
Virtua Striker 2,0.32
Momotarou Dentetsu 20-Shuunen,0.32
Hellboy: The Science of Evil,0.32
Atelier Ayesha: The Alchemist of Dusk,0.32
Kirby's Block Ball,0.32
Jikkyou Powerful Pro Yakyuu 15,0.32
Test Drive: Eve of Destruction,0.32
Live A Live,0.32
The Settlers 7: Paths to a Kingdom,0.32
Littlest Pet Shop: City Friends,0.32
Shovel Knight,0.32
Shin Momotarou Densetsu,0.32
Shin Super Robot Taisen Special Disk,0.32
Momotarou Dentetsu Happy,0.32
War Gods,0.32
Hatsune Miku: Project Mirai DX,0.31
J-League Winning Eleven 2007: Club Championship,0.31
